Combination,Load,Sliding Distance,Sliding Speed,Phase,Wear Rate
CrCoFeNiMn,10,500,1,FCC,2.609
CrCoFeNiMn,10,500,2,FCC,2.692
CrCoFeNiMn,10,500,3,FCC,2.952
CrCoFeNiMn,10,1000,1,FCC,2.731
CrCoFeNiMn,10,1000,2,FCC,2.521
CrCoFeNiMn,10,1000,3,FCC,2.564
CrCoFeNiMn,10,1500,1,FCC,2.867
CrCoFeNiMn,10,1500,2,FCC,2.606
CrCoFeNiMn,10,1500,3,FCC,2.699
CrCoFeNiMn,20,500,1,FCC,2.962
CrCoFeNiMn,20,500,2,FCC,2.514
CrCoFeNiMn,20,500,3,FCC,2.748
CrCoFeNiMn,20,1000,1,FCC,2.816
CrCoFeNiMn,20,1000,2,FCC,2.678
CrCoFeNiMn,20,1000,3,FCC,2.779
CrCoFeNiMn,20,1500,1,FCC,2.548
CrCoFeNiMn,20,1500,2,FCC,2.622
CrCoFeNiMn,20,1500,3,FCC,2.835
CrCoFeNiMn,30,500,1,FCC,2.894
CrCoFeNiMn,30,500,2,FCC,2.698
CrCoFeNiMn,30,500,3,FCC,2.709
CrCoFeNiMn,30,1000,1,FCC,2.73
CrCoFeNiMn,30,1000,2,FCC,2.671
CrCoFeNiMn,30,1000,3,FCC,2.964
CrCoFeNiMn,30,1500,1,FCC,2.686
CrCoFeNiMn,30,1500,2,FCC,2.97
CrCoFeNiMn,30,1500,3,FCC,2.848
AlCrCoFeNi,10,500,1,BCC,2.957
AlCrCoFeNi,10,500,2,BCC,2.868
AlCrCoFeNi,10,500,3,BCC,2.957
AlCrCoFeNi,10,1000,1,BCC,2.936
AlCrCoFeNi,10,1000,2,BCC,2.985
AlCrCoFeNi,10,1000,3,BCC,2.743
AlCrCoFeNi,10,1500,1,BCC,2.704
AlCrCoFeNi,10,1500,2,BCC,2.888
AlCrCoFeNi,10,1500,3,BCC,2.584
AlCrCoFeNi,20,500,1,BCC,2.338
AlCrCoFeNi,20,500,2,BCC,2.336
AlCrCoFeNi,20,500,3,BCC,2.387
AlCrCoFeNi,20,1000,1,BCC,2.03
AlCrCoFeNi,20,1000,2,BCC,2.239
AlCrCoFeNi,20,1000,3,BCC,2.482
AlCrCoFeNi,20,1500,1,BCC,1.777
AlCrCoFeNi,20,1500,2,BCC,2.104
AlCrCoFeNi,20,1500,3,BCC,2.482
AlCrCoFeNi,30,500,1,BCC,1.704
AlCrCoFeNi,30,500,2,BCC,2.109
AlCrCoFeNi,30,500,3,BCC,2.142
AlCrCoFeNi,30,1000,1,BCC,1.821
AlCrCoFeNi,30,1000,2,BCC,2.032
AlCrCoFeNi,30,1000,3,BCC,2.278
AlCrCoFeNi,30,1500,1,BCC,1.946
AlCrCoFeNi,30,1500,2,BCC,2
AlCrCoFeNi,30,1500,3,BCC,2.325
AlCrFeNiMn,10,500,1,BCC,2.558
AlCrFeNiMn,10,500,2,BCC,2.925
AlCrFeNiMn,10,500,3,BCC,2.827
AlCrFeNiMn,10,1000,1,BCC,2.637
AlCrFeNiMn,10,1000,2,BCC,2.985
AlCrFeNiMn,10,1000,3,BCC,2.862
AlCrFeNiMn,10,1500,1,BCC,2.6
AlCrFeNiMn,10,1500,2,BCC,2.804
AlCrFeNiMn,10,1500,3,BCC,2.558
AlCrFeNiMn,20,500,1,BCC,2.663
AlCrFeNiMn,20,500,2,BCC,2.575
AlCrFeNiMn,20,500,3,BCC,2.936
AlCrFeNiMn,20,1000,1,BCC,2.996
AlCrFeNiMn,20,1000,2,BCC,2.53
AlCrFeNiMn,20,1000,3,BCC,2.773
AlCrFeNiMn,20,1500,1,BCC,2.578
AlCrFeNiMn,20,1500,2,BCC,2.943
AlCrFeNiMn,20,1500,3,BCC,2.651
AlCrFeNiMn,30,500,1,BCC,2.703
AlCrFeNiMn,30,500,2,BCC,2.758
AlCrFeNiMn,30,500,3,BCC,2.978
AlCrFeNiMn,30,1000,1,BCC,2.729
AlCrFeNiMn,30,1000,2,BCC,2.621
AlCrFeNiMn,30,1000,3,BCC,2.754
AlCrFeNiMn,30,1500,1,BCC,2.938
AlCrFeNiMn,30,1500,2,BCC,2.919
AlCrFeNiMn,30,1500,3,BCC,2.567
AlCoFeNiTi,10,500,1,BCC,2.018
AlCoFeNiTi,10,500,2,BCC,2.069
AlCoFeNiTi,10,500,3,BCC,2.151
AlCoFeNiTi,10,1000,1,BCC,2.089
AlCoFeNiTi,10,1000,2,BCC,2.163
AlCoFeNiTi,10,1000,3,BCC,2.232
AlCoFeNiTi,10,1500,1,BCC,2.163
AlCoFeNiTi,10,1500,2,BCC,2.247
AlCoFeNiTi,10,1500,3,BCC,2.339
AlCoFeNiTi,20,500,1,BCC,1.6
AlCoFeNiTi,20,500,2,BCC,1.619
AlCoFeNiTi,20,500,3,BCC,1.673
AlCoFeNiTi,20,1000,1,BCC,1.676
AlCoFeNiTi,20,1000,2,BCC,1.692
AlCoFeNiTi,20,1000,3,BCC,1.734
AlCoFeNiTi,20,1500,1,BCC,1.767
AlCoFeNiTi,20,1500,2,BCC,1.797
AlCoFeNiTi,20,1500,3,BCC,1.826
AlCoFeNiTi,30,500,1,BCC,1.26
AlCoFeNiTi,30,500,2,BCC,1.218
AlCoFeNiTi,30,500,3,BCC,1.224
AlCoFeNiTi,30,1000,1,BCC,1.295
AlCoFeNiTi,30,1000,2,BCC,1.269
AlCoFeNiTi,30,1000,3,BCC,1.291
AlCoFeNiTi,30,1500,1,BCC,1.352
AlCoFeNiTi,30,1500,2,BCC,1.335
AlCoFeNiTi,30,1500,3,BCC,1.381
AlCrFeNiMo,10,500,1,MIP,2.976
AlCrFeNiMo,10,500,2,MIP,2.938
AlCrFeNiMo,10,500,3,MIP,2.712
AlCrFeNiMo,10,1000,1,MIP,2.782
AlCrFeNiMo,10,1000,2,MIP,2.908
AlCrFeNiMo,10,1000,3,MIP,2.78
AlCrFeNiMo,10,1500,1,MIP,2.904
AlCrFeNiMo,10,1500,2,MIP,2.841
AlCrFeNiMo,10,1500,3,MIP,2.543
AlCrFeNiMo,20,500,1,MIP,2.918
AlCrFeNiMo,20,500,2,MIP,2.88
AlCrFeNiMo,20,500,3,MIP,2.945
AlCrFeNiMo,20,1000,1,MIP,2.547
AlCrFeNiMo,20,1000,2,MIP,2.506
AlCrFeNiMo,20,1000,3,MIP,2.561
AlCrFeNiMo,20,1500,1,MIP,2.768
AlCrFeNiMo,20,1500,2,MIP,2.804
AlCrFeNiMo,20,1500,3,MIP,2.707
AlCrFeNiMo,30,500,1,MIP,1.98
